# 过滤后保留的可回测指数（共 727 个：行业 212 + 主题 515）
# 过滤规则: 6条(见 spec §2.2)，规则3含 name 币种过滤
# 格式: ts_code | name | category | list_date

    932217.CSI  |  制药指数  |  主题指数  |  20130715
    931664.CSI  |  动力电池  |  主题指数  |  20210407
    930901.CSI  |  动漫游戏  |  主题指数  |  20161018
    932424.CSI  |  化肥农药  |  主题指数  |  20241230
    931023.CSI  |  北京50  |  主题指数  |  20171030
    931773.CSI  |  北银理财央企能源  |  主题指数  |  20250326
    931670.CSI  |  医疗50  |  主题指数  |  20150408
    H30178.CSI  |  医疗保健  |  主题指数  |  20130715
    931592.CSI  |  医疗科技  |  主题指数  |  20201109
    000978.CSI  |  医药100  |  主题指数  |  20110318
    931140.CSI  |  医药50  |  主题指数  |  20190320
    931011.CSI  |  医药创新  |  主题指数  |  20170831
    931467.CSI  |  医药龙头  |  主题指数  |  20200521
    H30184.CSI  |  半导体  |  主题指数  |  20130715
    931793.CSI  |  半导体15  |  主题指数  |  20211213
    931743.CSI  |  半导体材料设备  |  主题指数  |  20121221
    932066.CSI  |  半导体行业精选  |  主题指数  |  20231110
    931594.CSI  |  卫星产业  |  主题指数  |  20201222
    931585.CSI  |  卫星导航  |  主题指数  |  20201109
    931652.CSI  |  厦门指数  |  主题指数  |  20210407
    931179.CSI  |  台州制造30  |  主题指数  |  20190530
    931176.CSI  |  台州综指  |  主题指数  |  20190530
    931512.CSI  |  周期50  |  主题指数  |  20200717
    931403.CSI  |  品牌工程  |  主题指数  |  20200114
    931246.CSI  |  商用飞机  |  主题指数  |  20220721
    930738.CSI  |  四川国改  |  主题指数  |  20180710
    000956.CSI  |  国企200  |  主题指数  |  20100209
    931824.CSI  |  国企50  |  主题指数  |  20231109
    931987.CSI  |  国企ESG50  |  主题指数  |  20250402
    000859.CSI  |  国企一带一路  |  主题指数  |  20190516
    932266.CSI  |  国企战略新兴  |  主题指数  |  20240702
    931529.CSI  |  国企数字经济  |  主题指数  |  20230804
    932359.CSI  |  国新国企人工智能  |  主题指数  |  20250121
    932419.CSI  |  国新国企航空航天  |  主题指数  |  20250121
    932257.CSI  |  国新央企小盘  |  主题指数  |  20240329
    932004.CSI  |  国新央企综指  |  主题指数  |  20221011
    950253.CSI  |  国新科创国企  |  主题指数  |  20250102
    931823.CSI  |  国资央企50  |  主题指数  |  20231109
    000954.CSI  |  地企100  |  主题指数  |  20100209
