# 被过滤掉的主题/行业指数变体（共 2689 个）
# 全收益/币种/规模口径/企业属性/港股/三板/策略变体，回测会污染对比

    931751.CSI  |  SHS CXO  |  主题指数
931751HKD00.CSI  |  SHS CXO HKD  |  主题指数
931751CNY01.CSI  |  SHS CXO(全)  |  主题指数
931751HKD01.CSI  |  SHS CXO(全)HKD  |  主题指数
    931492.CSI  |  SHS5G100  |  主题指数
    921492.CSI  |  SHS5G100(全)  |  主题指数
 921492HKD.CSI  |  SHS5G100(全)HKD  |  主题指数
 931492HKD.CSI  |  SHS5G100HKD  |  主题指数
    930717.CSI  |  SHS中国教育  |  主题指数
    H20717.CSI  |  SHS中国教育(全)  |  主题指数
    921462.CSI  |  SHS中国教育(全)HKD  |  主题指数
    931462.CSI  |  SHS中国教育HKD  |  主题指数
    931470.CSI  |  SHS云计算  |  主题指数
    921470.CSI  |  SHS云计算(全)  |  主题指数
    921471.CSI  |  SHS云计算(全)HKD  |  主题指数
    931471.CSI  |  SHS云计算HKD  |  主题指数
    930625.CSI  |  SHS互联网  |  主题指数
    H20625.CSI  |  SHS互联网(全)  |  主题指数
    H20627.CSI  |  SHS互联网(全)HKD  |  主题指数
    930627.CSI  |  SHS互联网HKD  |  主题指数
    931487.CSI  |  SHS人工智能50  |  主题指数
    921487.CSI  |  SHS人工智能50(全)  |  主题指数
    921488.CSI  |  SHS人工智能50(全)HKD  |  主题指数
    931488.CSI  |  SHS人工智能50HKD  |  主题指数
    931730.CSI  |  SHS光伏30  |  主题指数
931730CNY01.CSI  |  SHS光伏30(全)  |  主题指数
    931409.CSI  |  SHS创新药  |  主题指数
    921409.CSI  |  SHS创新药(全)  |  主题指数
    921410.CSI  |  SHS创新药(全)HKD  |  主题指数
    931410.CSI  |  SHS创新药HKD  |  主题指数
    931523.CSI  |  SHS动漫游戏  |  主题指数
    921523.CSI  |  SHS动漫游戏(全)  |  主题指数
 921523HKD.CSI  |  SHS动漫游戏(全)HKD  |  主题指数
 931523HKD.CSI  |  SHS动漫游戏HKD  |  主题指数
    931780.CSI  |  SHS医药龙头  |  主题指数
931780CNY01.CSI  |  SHS医药龙头(全)  |  主题指数
931780HKD01.CSI  |  SHS医药龙头(全)HKD  |  主题指数
931780HKD00.CSI  |  SHS医药龙头HKD  |  主题指数
    931404.CSI  |  SHS品牌消费50  |  主题指数
    921404.CSI  |  SHS品牌消费50(全)  |  主题指数
    921405.CSI  |  SHS品牌消费50(全)HKD  |  主题指数
    931405.CSI  |  SHS品牌消费50HKD  |  主题指数
    931474.CSI  |  SHS地产龙头  |  主题指数
    921474.CSI  |  SHS地产龙头(全)  |  主题指数
    921475.CSI  |  SHS地产龙头(全)HKD  |  主题指数
    931475.CSI  |  SHS地产龙头HKD  |  主题指数
    930999.CSI  |  SHS大湾区  |  主题指数
    H20999.CSI  |  SHS大湾区(全)  |  主题指数
    H21002.CSI  |  SHS大湾区(全)HKD  |  主题指数
    931002.CSI  |  SHS大湾区HKD  |  主题指数
    931731.CSI  |  SHS太阳能50  |  主题指数
931731CNY01.CSI  |  SHS太阳能50(全)  |  主题指数
    931596.CSI  |  SHS张江50  |  主题指数
931596CNY01.CSI  |  SHS张江50(全)  |  主题指数
931596HKD01.CSI  |  SHS张江50(全)HKD  |  主题指数
931596HKD00.CSI  |  SHS张江50HKD  |  主题指数
    931583.CSI  |  SHS数字经济  |  主题指数
931583CNY01.CSI  |  SHS数字经济(全)  |  主题指数
931583HKD01.CSI  |  SHS数字经济(全)HKD  |  主题指数
931583HKD00.CSI  |  SHS数字经济HKD  |  主题指数
    931646.CSI  |  SHS新消费  |  主题指数
931646CNY01.CSI  |  SHS新消费(全)  |  主题指数
931646HKD01.CSI  |  SHS新消费(全)HKD  |  主题指数
931646HKD00.CSI  |  SHS新消费HKD  |  主题指数
    931765.CSI  |  SHS新生代消费  |  主题指数
931765CNY01.CSI  |  SHS新生代消费(全)  |  主题指数
931765HKD01.CSI  |  SHS新生代消费(全)HKD  |  主题指数
931765HKD00.CSI  |  SHS新生代消费HKD  |  主题指数
    931663.CSI  |  SHS消费龙头  |  主题指数
931663CNY01.CSI  |  SHS消费龙头(全)  |  主题指数
931663HKD01.CSI  |  SHS消费龙头(全)HKD  |  主题指数
931663HKD00.CSI  |  SHS消费龙头HKD  |  主题指数
    931580.CSI  |  SHS游戏传媒  |  主题指数
931580CNY01.CSI  |  SHS游戏传媒(全)  |  主题指数
931580HKD01.CSI  |  SHS游戏传媒(全)HKD  |  主题指数
931580HKD00.CSI  |  SHS游戏传媒HKD  |  主题指数
    931745.CSI  |  SHS物业  |  主题指数
931745CNY01.CSI  |  SHS物业(全)  |  主题指数
931745HKD01.CSI  |  SHS物业(全)HKD  |  主题指数
931745HKD00.CSI  |  SHS物业HKD  |  主题指数
    931575.CSI  |  SHS物联网  |  主题指数
931575CNY01.CSI  |  SHS物联网(全)  |  主题指数
931575HKD01.CSI  |  SHS物联网(全)HKD  |  主题指数
931575HKD00.CSI  |  SHS物联网HKD  |  主题指数
    931442.CSI  |  SHS科技100  |  主题指数
    921442.CSI  |  SHS科技100(全)  |  主题指数
    921443.CSI  |  SHS科技100(全)HKD  |  主题指数
    931443.CSI  |  SHS科技100HKD  |  主题指数
    931524.CSI  |  SHS科技龙头  |  主题指数
    921524.CSI  |  SHS科技龙头(全)  |  主题指数
 921524HKD.CSI  |  SHS科技龙头(全)HKD  |  主题指数
 931524HKD.CSI  |  SHS科技龙头HKD  |  主题指数
    931481.CSI  |  SHS线上消费  |  主题指数
    921481.CSI  |  SHS线上消费(全)  |  主题指数
    921482.CSI  |  SHS线上消费(全)HKD  |  主题指数
    931482.CSI  |  SHS线上消费HKD  |  主题指数
931729HKD01.CSI  |  SHS芯片产业(全)HKD  |  主题指数
931729HKD00.CSI  |  SHS芯片产业HKD  |  主题指数
    931683.CSI  |  SHS酒主题  |  主题指数
931683CNY01.CSI  |  SHS酒主题(全)  |  主题指数
931683HKD01.CSI  |  SHS酒主题(全)HKD  |  主题指数
931683HKD00.CSI  |  SHS酒主题HKD  |  主题指数
    931673.CSI  |  SHS风电产业  |  主题指数
931673CNY01.CSI  |  SHS风电产业(全)  |  主题指数
931673HKD01.CSI  |  SHS风电产业(全)HKD  |  主题指数
931673HKD00.CSI  |  SHS风电产业HKD  |  主题指数
    931727.CSI  |  SHS食品  |  主题指数
931727CNY01.CSI  |  SHS食品(全)  |  主题指数
